value,is_slotted,id,sku,slug,color,category,image_url,product_type,release_date,release_date_year,variation_id,box_condition,used_image_url,cheapest_product,product_condition,count_for_product_condition,goat_url
Kobe A.D. Mid 'NCAA Tournament',False,328550,AJ6921 001,kobe-a-d-mid-ncaa-tournament-aj6922-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/057/670/856/original/328550_00.png.png,sneakers,20180322,2018,6d25ee8d-b918-45b5-b2fe-50890cc66794,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-mid-ncaa-tournament-aj6922-001
Kobe 9 EM 'Gym Blue',False,28380,646701 474,kobe-9-low,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/063/207/724/original/28380_00.png.png,sneakers,20141121,2014,eec18253-4111-430e-b211-78296c8237e7,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-9-low
Kobe 11 'Lower Merion',False,49799,836183 006,kobe-11-lower-merion-836183-006,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/337/897/original/49799_00.png.png,sneakers,20160409,2016,0f294ada-8ddb-4a4d-be5a-c33e8dffb16b,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-lower-merion-836183-006
Kobe A.D. NXT 'Black White',False,157141,882049 007,kobe-a-d-nxt-882049-007,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/929/687/original/157141_00.png.png,sneakers,20170603,2017,5dd9ad68-493b-40ff-9904-b9c81f11acdc,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-nxt-882049-007
Kobe A.D. NXT 'Snow White',False,147607,882049 100,kobe-a-d-nxt-snow-white-882049-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/085/594/original/147607_00.png.png,sneakers,20170512,2017,608a9ae0-31da-403a-b225-4564abda496c,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-nxt-snow-white-882049-100
Kobe 11 TB 'White',False,240496,856485 100,kobe-11-low-tb-856485-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/007/019/240/original/856485_100.png.png,sneakers,20161001,2016,76e98be0-1050-4be9-988e-83e74c582017,no_original_box,,,new_with_defects,0,https://www.goat.com/sneakers/kobe-11-low-tb-856485-100
Kobe 10 Elite 'Team',False,14466,718763 505,nike-kobe-10-elite-team-718763-505,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/632/504/original/14466_00.png.png,sneakers,20150417,2015,9c5023c8-d45d-46c1-9a05-6cc3a753e528,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/nike-kobe-10-elite-team-718763-505
Undefeated x Kobe 4 Protro 'Team Orange',False,538342,CQ3869 800,undefeated-x-kobe-4-protro-devin-booker-cq3869-800,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/327/976/original/538342_00.png.png,sneakers,20190824,2019,855ce91e-8183-4ad4-9c97-508c741cf6fb,good_condition,,,new_no_defects,16,https://www.goat.com/sneakers/undefeated-x-kobe-4-protro-devin-booker-cq3869-800
Zoom Kobe 5 'Ink',False,24860,386429 500,zoom-kobe-5-386429-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/968/168/original/24860_00.png.png,sneakers,20100802,2010,5ff65183-2fae-4973-98d6-bbd74d5778cd,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-386429-500
Kobe 8 System 'Milk Snake',False,13161,555035 601,kobe-8-system-milk-snake-555035-601,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/070/905/201/original/13161_00.png.png,sneakers,20130727,2013,7e7d2801-cd8c-4715-98d7-20814b91f58a,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-system-milk-snake-555035-601
Kobe 7 GS 'Christmas',False,25260,505399 500,kobe-7-gs-christmas-505399-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/036/154/original/505399_500.png.png,sneakers,,,188d0613-833a-4f73-ad02-8eb973cfc7ca,good_condition,https://image.goat.com/attachments/product_outer_pictures/images/081/350/073/square/temp1669512300.jpeg?1669512300,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/081/350/073/square/temp1669512300.jpeg?1669512300""}",used,11,https://www.goat.com/sneakers/kobe-7-gs-christmas-505399-500
Zoom Kobe 5 'All Star',False,24090,386429 601,zoom-kobe-5-all-star-386429-601,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/678/original/386429_601.png.png,sneakers,20100206,2010,31fbbbf8-e955-4e90-a052-dbfe4c613716,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-all-star-386429-601
Kobe 11 TB 'Court Purple',False,249431,856485 551,kobe-11-tb-promo-856485-551,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/007/283/034/original/856485_551.png.png,sneakers,20161001,2016,b7e6a5b5-a41d-4223-bc45-f688e1dc3041,no_original_box,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-tb-promo-856485-551
Zoom Kobe 7 System 'Shark',False,25312,488371 401,zoom-kobe-7-shark-488371-401,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/063/600/960/original/25312_00.png.png,sneakers,20120215,2012,07657410-9991-4a46-91d0-8a833aacd431,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-7-shark-488371-401
Zoom Kobe 6 GS 'Del Sol',False,25252,429913 001,kobe-6-gs-429913-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/015/original/429913_001.png.png,sneakers,,,ebd76e92-9ae0-4d5b-96c5-a65d23a97d70,badly_damaged,https://image.goat.com/attachments/product_outer_pictures/images/043/041/863/square/camera570992988085435903.jpeg?1601146504,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/043/041/863/square/camera570992988085435903.jpeg?1601146504""}",used,1,https://www.goat.com/sneakers/kobe-6-gs-429913-001
Kobe Venomenom 4,False,141187,635578 400,kobe-venomenom-4-635578-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/003/738/400/original/635578_400.png.png,sneakers,,,6ceba0d7-e553-422b-9499-d1cf0f28e4da,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-venomenom-4-635578-400
Zoom Kobe 4 'Chaos Joker',False,24164,344335 051,zoom-kobe-4-chaos-joker-344335-051,silver,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/093/original/344335_051.png.png,sneakers,20090118,2009,0de79dab-c0e9-4633-b552-1307ceb3fb97,good_condition,https://image.goat.com/attachments/product_outer_pictures/images/014/085/032/square/temp1534703880.jpeg?1534703880,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/014/085/032/square/temp1534703880.jpeg?1534703880""}",used,2,https://www.goat.com/sneakers/zoom-kobe-4-chaos-joker-344335-051
Zoom Kobe 4 'Del Sol',False,24034,344335 011,zoom-kobe-4-344335-011,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/337/825/original/24034_00.png.png,sneakers,20090209,2009,fc79f3d3-99e5-49e8-8981-c3efc739f230,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-4-344335-011
Zoom Kobe 5 'Big Stage Home',False,24552,386429 108,zoom-kobe-5-big-stage-home-386429-108,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/326/563/original/24552_00.png.png,sneakers,20100806,2010,d0cc6838-a644-4bd3-94c4-9721ab14bd1f,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-big-stage-home-386429-108
Zoom Kobe 5 'Lakers Home',False,49098,386429 102,zoom-kobe-5-lakers-386429-102,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/478/877/original/386429_102.png.png,sneakers,20091031,2009,1ea38a57-f0e6-4f90-b72d-d17335cca240,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-lakers-386429-102
Zoom Kobe 5 'USA',False,77236,386429 103,zoom-kobe-5-386429-103,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/053/818/140/original/77236_00.png.png,sneakers,20100806,2010,41efb771-dc7a-491b-8c2c-276f06974210,badly_damaged,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-386429-103
