value,is_slotted,id,sku,slug,color,category,image_url,release_date,product_type,release_date_year,variation_id,discount_tag,box_condition,product_condition,count_for_product_condition,goat_url
Zoom Kobe 2 'Fade To Black,False,45396,869452 003,zoom-kobe-2-ftb-869452-003,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/711/201/original/45396_00.png.png,20160325,sneakers,2016,e2451874-2fb7-4fb6-8427-879b921b5e69,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-2-ftb-869452-003
Kobe 8 TB 'Court Purple',False,470944,599520 500,kobe-8-system-tb-court-purple-599520-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/015/746/989/original/599520_500.png.png,20131016,sneakers,2013,MASTER_VARIATION_470944_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-tb-court-purple-599520-500
Air Zoom Huarache 2K4 KB 'Kobe Laser',False,21041,309957 111,air-zoom-huarache-2k4-kb-kobe-laser-309957-111,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/051/086/041/original/21041_00.png.png,,sneakers,,e5a90315-0000-4c7f-a2dd-228c512ae5ca,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/air-zoom-huarache-2k4-kb-kobe-laser-309957-111
Huarache 2K4 'Kobe Laser',False,21614,309957 153,huarache-2k4-kobe-laser-309957-153,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/027/708/original/309957_153.png.png,,sneakers,,09074db0-f2b2-4e81-8140-8333c062090e,,no_original_box,new_no_defects,0,https://www.goat.com/sneakers/huarache-2k4-kobe-laser-309957-153
Kobe 8 TB 'Game Royal',False,210252,599520 402,kobe-8-tb-system-599520-402,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/006/200/266/original/599520_402.png.png,20131016,sneakers,2013,MASTER_VARIATION_210252_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-tb-system-599520-402
Kobe 8 GS 'Superhero',False,25899,555586 301,kobe-8-gs-superhero-555586-301,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/036/566/original/555586_301.png.png,20130427,sneakers,2013,MASTER_VARIATION_25899_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-gs-superhero-555586-301
Kobe 8 TB 'White Court Purple',False,273776,599520 104,kobe-bryant-8-system-tb-599520-104,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/008/123/389/original/599520_104.png.png,20131016,sneakers,2013,MASTER_VARIATION_273776_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-bryant-8-system-tb-599520-104
Kobe 8 'Duke' PE,False,13212,SP13MNBSKT 784,kobe-8-pe-duke-sp13mnbskt-784,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/731/679/original/SP13MNBSKT_784.png.png,,sneakers,,MASTER_VARIATION_13212_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-pe-duke-sp13mnbskt-784
Kobe 5 Sample,False,427781,MNBSKT 096,kobe-4-sample-mnbskt-096,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/013/818/839/original/MNBSKT_096.png.png,,sneakers,,MASTER_VARIATION_427781_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-4-sample-mnbskt-096
Kobe 8 'Spark' Sample,False,458120,555035 800 S,kobe-8-system-spark-sample-555035-800-s,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/026/362/original/555035_800_S.png.png,20130909,sneakers,2013,MASTER_VARIATION_458120_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-spark-sample-555035-800-s
Kobe 8 'Shedding Skin' iD,False,328681,653613 9XX,kobe-8-ss-id-653613-9xx,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/026/376/original/653613_9XX.png.png,20131226,sneakers,2013,MASTER_VARIATION_328681_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-ss-id-653613-9xx
Kobe 8 Elite GC 'Superhero',False,467123,586590 300,kobe-8-system-elite-gc-superhero-586590-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/026/371/original/586590_300.png.png,20130427,sneakers,2013,MASTER_VARIATION_467123_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-elite-gc-superhero-586590-300
Zoom Kobe 5 XDR 'Lakers Away',False,25301,386430 071,zoom-kobe-5-x-386430-071,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/683/original/386430_071.png.png,20091031,sneakers,2009,MASTER_VARIATION_25301_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-5-x-386430-071
Kobe 8 GS 'Blue Coral Snake',False,25975,555586 400,kobe-8-gs-duke-555586-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/036/567/original/555586_400.png.png,20130223,sneakers,2013,MASTER_VARIATION_25975_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-gs-duke-555586-400
Kobe 8 GS 'Mine Grey',False,51736,555586 003,kobe-8-gs-mine-grey-555586-003,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/491/245/original/555586_003.png.png,20131130,sneakers,2013,MASTER_VARIATION_51736_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-gs-mine-grey-555586-003
Zoom Kobe 5 'Rice Home',False,24615,386429 107,zoom-kobe-5-rice-386429-107,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/670/original/386429_107.png.png,20100903,sneakers,2010,MASTER_VARIATION_24615_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-5-rice-386429-107
Kobe 8 'Year of the Snake' iD,False,510670,603528 XXX,kobe-8-id-year-of-the-snake-603528-xxx,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/020/869/572/original/603528_XXX.png.png,20130403,sneakers,2013,MASTER_VARIATION_510670_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-id-year-of-the-snake-603528-xxx
Kobe 8 GS 'Baltic Blue',False,28377,555586 401,kobe-8-system-orange-and-light-blue,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/009/897/751/original/555586_401.png.png,20130515,sneakers,2013,MASTER_VARIATION_28377_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-orange-and-light-blue
Kobe 8 GS 'Sulfur Electric',False,25728,555586 001,kobe-8-gs-555586-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/036/564/original/555586_001.png.png,20121220,sneakers,2012,MASTER_VARIATION_25728_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-gs-555586-001
Zoom Kobe 5 TB 'Varsity Purple',False,25336,407710 511,zoom-kobe-5-tb-407710-511,purple,shoes,,20100601,sneakers,2010,MASTER_VARIATION_25336_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-5-tb-407710-511
Zoom Kobe 5 'Big Stage Away' Sample,False,196301,386429 008 00,zoom-kobe-5-big-stage-sample-386429-008-00,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/005/693/823/original/-386429_008.png,,sneakers,,MASTER_VARIATION_196301_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-5-big-stage-sample-386429-008-00
Zoom Kobe 6 TB 'Black',False,49018,454142 011,zoom-kobe-6-tb-454142-011,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/387/941/original/454142_011.png,20110701,sneakers,2011,MASTER_VARIATION_49018_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-6-tb-454142-011
Zoom Kobe 6 GS 'East LA',False,24961,429913 400,kobe-6-gs-east-429913-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/019/original/429913_400.png.png,,sneakers,,MASTER_VARIATION_24961,,,,,https://www.goat.com/sneakers/kobe-6-gs-east-429913-400
Zoom Kobe 5 TB 'Team Orange',False,49102,407710 800,zoom-kobe-5-407710-800,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/840/853/original/407710_800.png.png,20100601,sneakers,2010,MASTER_VARIATION_49102_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-5-407710-800
Zoom Kobe 6 TB 'Midnight Navy',False,28585,454142 401,nike-zoom-kobe-6-navy-white,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/054/873/497/original/28585_00.png.png,20110701,sneakers,2011,MASTER_VARIATION_28585_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/nike-zoom-kobe-6-navy-white
Zoom Kobe 6 GS,False,133853,429913 005,kobe-6-gs-429913-005,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/003/221/222/original/429913_005.png.png,,sneakers,,MASTER_VARIATION_133853_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-6-gs-429913-005
Zoom Kobe 6 'Medium Grey Black',False,24912,429659 007,zoom-kobe-6-429659-007,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/982/original/429659_007.png.png,20110225,sneakers,2011,MASTER_VARIATION_24912_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-6-429659-007
Kobe 11 TB 'White Teal',False,529492,856485 131,kobe-11-em-tb-white-teal-856485-131,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/056/620/797/original/856485_131.png.png,20161001,sneakers,2016,MASTER_VARIATION_529492_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-11-em-tb-white-teal-856485-131
Zoom Kobe Venomenon 4 XDR,False,29593,630916 603,red-kobe-venomenon,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/082/986/original/630916_603.png.png,,sneakers,,MASTER_VARIATION_29593_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/red-kobe-venomenon
Kobe 11 TB 'Desert Orange',False,496740,856485 882,kobe-11-em-tb-texas-longhorns-856485-882,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/018/982/501/original/856485_882.png.png,20161001,sneakers,2016,MASTER_VARIATION_496740_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-11-em-tb-texas-longhorns-856485-882
Gel Lyte 3 'Kobe Beef',False,601776,1191A347 250,gel-lyte-3-kobe-beef-1191a347-250,pink,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/033/250/328/original/1191A347_250.png.png,,sneakers,,cf425356-c60e-4164-9a02-15eef5ecaee4,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/gel-lyte-3-kobe-beef-1191a347-250
Zoom Kobe 6 'Gorge Green',False,92703,429659 009,zoom-kobe-6-429659-009,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/054/436/338/original/92703_00.png.png,20110825,sneakers,2011,MASTER_VARIATION_92703_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-6-429659-009
Kobe A.D. NXT PE 'University Gold',False,466565,882049 777471 LN2,kobe-a-d-nxt-pe-university-gold-882049-777471-ln2,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/022/119/655/original/882049_777471_LN2.png.png,,sneakers,,MASTER_VARIATION_466565_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-a-d-nxt-pe-university-gold-882049-777471-ln2
