@context,@type,name,image,releaseDate,brand,model,sku,color,description,goat_url
http://schema.org,Product,Kobe A.D. Exodus 'Red',['https://image.goat.com/750/attachments/product_template_pictures/images/082/887/989/original/541850_00.png.png'],,Nike,Kobe A.D. Exodus 'Red',AT3874 603,Red,,https://www.goat.com/sneakers/kobe-a-d-exodus-red-at3874-603
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"This version of the Kobe 11 dropped in 2016 exclusively in grade school sizing. A nod to the television theme, the heel section of the shoe dons multi-colored bars reminiscent of the Technicolor logo of the ‘90s as well as a static-inspired Flyknit upper pattern in shades of Wolf Grey and Cool Grey. The shoe’s look is completed by a translucent outsole.",https://www.goat.com/sneakers/kobe-11-gs-tv-822945-002
http://schema.org,Product,Zoom Kobe 5 Protro '5 Rings',['https://image.goat.com/750/attachments/product_template_pictures/images/043/570/562/original/677052_00.png.png'],2020-10-15T23:59:59.999Z,Nike,Zoom Kobe 5 Protro '5 Rings',CD4991 400,Concord/Midwest Gold,"The Nike Zoom Kobe 5 Protro ‘5 Rings’ brings back a celebratory Kobe 5 colorway that originally launched in summer 2010 in recognition of the Mamba’s fifth championship with the Los Angeles Lakers. The low-top makes use of a simple palette in Concord and Midwest Gold, executed on a streamlined upper covered in various graphics centered around the number 5. A gradient two-tone midsole packs Zoom Air cushioning in both the heel and forefoot.",https://www.goat.com/sneakers/zoom-kobe-5-protro-5-rings-cd4991-400
http://schema.org,Product,Zoom Kobe 5 Protro '5x Champ',['https://image.goat.com/750/attachments/product_template_pictures/images/083/806/488/original/599997_00.png.png'],2020-08-24T23:59:59.999Z,Nike,Zoom Kobe 5 Protro '5x Champ',CD4991 500,Court Purple/Black/University Gold,"Launching as part of a special commemorative collection honoring the memory of Kobe Bryant, the Nike Zoom Kobe 5 Protro ‘5x Champ’ features a design inspired by the championship jackets gifted to the Mamba following his second and third NBA titles. The glossy patent leather upper is dressed in purple and black with contrasting gold accents. The Lakers’ signature purple and gold hues are repeated on the LA-themed custom sockliner.",https://www.goat.com/sneakers/zoom-kobe-5-protro-lakers-cd4991-500
http://schema.org,Product,Zoom Kobe 5 Protro 'Alternate Bruce Lee',['https://image.goat.com/750/attachments/product_template_pictures/images/041/974/245/original/639895_00.png.png'],2020-11-24T23:59:59.999Z,Nike,Zoom Kobe 5 Protro 'Alternate Bruce Lee',CD4991 101,White/Black/Comet Red/White,"The Nike Zoom Kobe 5 Protro ‘Alternate Bruce Lee’ pays homage to the iconic martial artist with a design that takes its cues from the 2010 colorway inspired by Lee’s jumpsuit from ‘Enter the Dragon.’ The black and white color scheme adds yellow accents in a nod to the original, along with the distinctive red scratch marks on the lateral forefoot. While the original Zoom Kobe 5 featured Zoom Air cushioning in the forefoot and heel, this pair utilizes a large-volume Zoom Air unit only in the forefoot.",https://www.goat.com/sneakers/zoom-kobe-5-protro-alternate-bruce-lee-cd4991-101
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Kobe 9 EM Premium 'Gorge Green' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/kobe-9-em-prm-652908-303
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Zoom Kobe 7 System 'Concord' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/zoom-kobe-7-system-488371-402
http://schema.org,Product,Kobe 11 Elite Low 'Black Space',['https://image.goat.com/750/attachments/product_template_pictures/images/079/927/331/original/70696_00.png.png'],2016-10-04T23:59:59.999Z,Nike,Kobe 11 Elite Low 'Black Space',822675 001,Black/Black-Black,"The Kobe 11 Elite Low 'Black Space' features a black Flyknit upper with a reflective black Swoosh, black suede tongue, and an ice-blue translucent sole. The shoe also comes with black suede heel panels with Kobe's 'Achilles' logo in bright red on the left shoe, and an 'XX' embroidered onto the right. Released in October 2016, the colorway was part of Nike's 'Black Space' pack that also included blacked out colorways for the KD 9 and LeBron Soldier 10 silhouettes.",https://www.goat.com/sneakers/kobe-11-elite-low-black-space-822675-001
http://schema.org,Product,Kobe 9 Elite 'Victory',['https://image.goat.com/750/attachments/product_template_pictures/images/000/017/050/original/630847_077.png.png'],2014-10-31T23:59:59.999Z,Nike,Kobe 9 Elite 'Victory',630847 077,Black/Volt-Anthracite-Metallic Gold,"Released in conjunction with Kobe Bryant’s return for the 2014 season after achilles surgery, the Nike Kobe 9 Elite features a bright metallic volt Flyknit upper with underlying black accents, while the Mamba branding and Swoosh are accented with gold tones. The sock-liner provides a snug and adaptable feel, while the Flywire lacing system enhances forefoot support and stability.",https://www.goat.com/sneakers/kobe-9-elite-victory-630847-077
http://schema.org,Product,Zoom Kobe 6 Protro 'Think Pink',['https://image.goat.com/750/attachments/product_template_pictures/images/054/790/215/original/631513_00.png.png'],,Nike,Zoom Kobe 6 Protro 'Think Pink',DJ3596 600,Pinkfire/Metallic Silver/White,,https://www.goat.com/sneakers/zoom-kobe-6-protro-think-pink-cw2190-600
http://schema.org,Product,Kobe A.D. 'Mighty I.T.' PE,['https://image.goat.com/750/attachments/product_template_pictures/images/079/992/501/original/296506_00.png.png'],2018-01-06T23:59:59.000Z,Nike,Kobe A.D. 'Mighty I.T.' PE,AQ2721 600,Gym Red/University Gold-Multi-Color,"Nike released an exclusive colorway to celebrate the return of Cleveland Cavaliers point guard Isaiah Thomas following his hip injury. The Kobe A.D. 'Mighty I.T.' PE features a Cavaliers-inspired color scheme with a Gym Red upper and University Gold details on the mini jewel-like Swoosh on the sides and on the branded tongue. The sneaker also boasts trademark “I.T” initials on the heel counter, an icy iridescent outsole, and a graphic on the insoles.",https://www.goat.com/sneakers/kobe-ad-mighty-i-t-aq2722-600
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Kobe 10 GS 'Pain' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/kobe-10-gs-pain-726067-001
http://schema.org,Product,Kobe A.D. Mid 'Black Gum',['https://image.goat.com/750/attachments/product_template_pictures/images/082/734/896/original/292675_00.png.png'],2017-12-16T23:59:59.999Z,Nike,Kobe A.D. Mid 'Black Gum',922482 006,Black/Sail-Gum,"The Kobe A.D. was the first shoe Kobe Bryant released with Nike after his retirement. The Kobe A.D. Mid 'Black Gum' features a black suede upper with Flywire technology along the sides for added support. The sneaker also boasts black leather details on the heel for structure, a speckled white midsole with added cushioning, and a holographic pink Swoosh on the side panel with matching tongue branding.",https://www.goat.com/sneakers/kobe-a-d-black-gum-922482-006
